tab,source_row,university_name,ranking_raw,newspaper_raw,url,domain,done,notes
Liberal Arts,64,Principia College,#63,nan,,,,non_url:nan
Liberal Arts,65,Reed College,#63,nan,,,,non_url:nan
Liberal Arts,66,Lawrence University,#65,nan,,,,non_url:nan
Liberal Arts,67,Virginia Military Institute,#65,nan,,,,non_url:nan
Liberal Arts,68,Agnes Scott College,#67,nan,,,,non_url:nan
Liberal Arts,69,Kalamazoo College,#67,nan,,,,non_url:nan
Liberal Arts,70,Wofford College,#67,nan,,,,non_url:nan
Liberal Arts,71,Bard College,#70,nan,,,,non_url:nan
Liberal Arts,72,Gustavus Adolphus College,#70,nan,,,,non_url:nan
Liberal Arts,73,Muhlenberg College,#70,nan,,,,non_url:nan
Liberal Arts,74,College of St. Benedict,#73,nan,,,,non_url:nan
Liberal Arts,75,Hobart and William Smith Colleges,#73,nan,,,,non_url:nan
Liberal Arts,76,Lake Forest College,#75,nan,,,,non_url:nan
Liberal Arts,77,Allegheny College,#76,nan,,,,non_url:nan
Liberal Arts,78,The College of Wooster,#76,nan,,,,non_url:nan
Liberal Arts,79,Earlham College,#76,nan,,,,non_url:nan
Liberal Arts,80,Knox College,#76,nan,,,,non_url:nan
Liberal Arts,81,Wheaton College,#76,nan,,,,non_url:nan
Liberal Arts,82,Willamette University,#76,nan,,,,non_url:nan
Liberal Arts,83,Saint Johns University,#82,nan,,,,non_url:nan
Liberal Arts,84,Stonehill College,#82,nan,,,,non_url:nan
Liberal Arts,85,Austin College,#84,nan,,,,non_url:nan
Liberal Arts,86,Drew University,#84,nan,,,,non_url:nan
Liberal Arts,87,Hope College,#84,nan,,,,non_url:nan
Liberal Arts,88,Saint Mary's College,#84,nan,,,,non_url:nan
Liberal Arts,89,Southwestern Univeristy,#84,nan,,,,non_url:nan
Liberal Arts,90,St. John's College (MD),#84,nan,,,,non_url:nan
Liberal Arts,91,Ursinus College,#84,nan,,,,non_url:nan
Liberal Arts,92,Washington & Jefferson College,#84,nan,,,,non_url:nan
Liberal Arts,93,Beloit College,#92,nan,,,,non_url:nan
Liberal Arts,94,Juniata College,#92,nan,,,,non_url:nan
Liberal Arts,95,Washington College,#92,nan,,,,non_url:nan
Liberal Arts,96,Whittier College,#92,nan,,,,non_url:nan
Liberal Arts,97,Augustana College,#96,nan,,,,non_url:nan
Liberal Arts,98,Lewis & Clark College,#96,nan,,,,non_url:nan
Liberal Arts,99,Lycoming College,#96,nan,,,,non_url:nan
Liberal Arts,100,Morehouse College,#96,nan,,,,non_url:nan
Liberal Arts,101,Randolph-Macon College,#96,nan,,,,non_url:nan
Liberal Arts,102,Saint Anselm College,#96,nan,,,,non_url:nan
Liberal Arts,103,St. Mary's College of Maryland,#96,nan,,,,non_url:nan
