site_key,domain,category_labels,platform,access_profile,cdn,crawl_delay,sitemap_kind,status,est_urls,earliest_year,est_days,wave,exclusion_reason,shared_with,universities,tabs,source_rows,sample_url,notes,workbook_done
,instagram.com,Christian Colleges,instagram,excluded,,,,excluded,,,,,instagram_only,,College of the Ozarks,Christian Colleges,Christian Colleges:4,https://www.instagram.com/the.outlook.cofo/,label:The Outlook: https://www.instagram.com/the.outlook.cofo/; College of the Ozarks' The Outlook publishes on Instagram only,
stolaf,olafmessenger.com,Christian Colleges | Liberal Arts,sno,,,,,configured,,,,1,,,St. Olaf College,Christian Colleges,Christian Colleges:5,https://olafmessenger.com/,Liberal Arts row 53 lists St. Olaf College without a URL,
,oudaily.com,Christian Colleges,unknown,excluded,,,,excluded,,,,,wrong_school,,Oklahoma City Univeristy,Christian Colleges,Christian Colleges:6,https://www.oudaily.com/,OU Daily is the University of Oklahoma's paper; Oklahoma City University needs its own,
,thewheatonrecord.com,Christian Colleges,wordpress,open,none,,other,recon_done,,,,,,,Wheaton College--Illinois,Christian Colleges,Christian Colleges:7,https://thewheatonrecord.com/,,
,thelink.harding.edu,Christian Colleges,unknown,excluded,,,,excluded,,,,,login_required,,Harding Univeristy,Christian Colleges,Christian Colleges:9,https://thelink.harding.edu/the-bison/,The Bison returns HTTP 401,
biola,chimesnewspaper.com,Christian Colleges,sno,,,,,configured,,,,1,,,Biola Univeristy,Christian Colleges,Christian Colleges:10,https://chimesnewspaper.com/,,
,anchor.hope.edu,Christian Colleges | Liberal Arts,wordpress,cloudflare,cloudflare,,other,recon_done,,,,,,,Hope College,Christian Colleges,Christian Colleges:12,https://anchor.hope.edu/,Liberal Arts row 87 lists Hope College without a URL,
,lipscombmedia.com,Christian Colleges,wordpress,open,none,,yoast,recon_done,696,2022,0.0,,,,Lipscomb Univeristy,Christian Colleges,Christian Colleges:14,https://lipscombmedia.com/,,
,lomabeat.com,Christian Colleges,wordpress,open,none,,wp_core,recon_done,4035,2013,0.3,,,,Point Loma Nazarene Univeristy,Christian Colleges,Christian Colleges:15,https://lomabeat.com/,,
,calbaptist.edu,Christian Colleges,library_archive,excluded,,,,excluded,,,,,pdf_archive,,California Baptist University,Christian Colleges,Christian Colleges:16,https://calbaptist.edu/academics/library/collections/archives/banner,Library scans; needs the archive/OCR pipeline,
,digitalcommons.cedarville.edu,Christian Colleges,unknown,excluded,,,,excluded,,,,,pdf_archive,,Cedarville University,Christian Colleges,Christian Colleges:17,https://digitalcommons.cedarville.edu/cedars/,Digital Commons issue PDFs; needs the archive/OCR pipeline,
,,Liberal Arts,,,,,,missing_url,,,,,,,United States Air Force Academy,Liberal Arts,Liberal Arts:7,,newspaper:N/A,
,,Liberal Arts,,,,,,missing_url,,,,,,,United States Military Academy at West Point,Liberal Arts,Liberal Arts:13,,newspaper:N/A,
,,Liberal Arts,,excluded,,,,excluded,,,,,duplicate_row,,St. Olaf College,Liberal Arts,Liberal Arts:53,,non_url:nan; St. Olaf College; scraped once as olafmessenger.com,
,,Liberal Arts,,,,,,missing_url,,,,,,,Wabash College,Liberal Arts,Liberal Arts:54,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Wheaton College,Liberal Arts,Liberal Arts:55,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Centre College,Liberal Arts,Liberal Arts:56,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Rhodes College,Liberal Arts,Liberal Arts:57,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Thomas Aquinas College,Liberal Arts,Liberal Arts:58,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,DePauw University,Liberal Arts,Liberal Arts:59,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Gettysburg College,Liberal Arts,Liberal Arts:60,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Oberlin College,Liberal Arts,Liberal Arts:61,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,St. Lawrence University,Liberal Arts,Liberal Arts:62,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Whitman College,Liberal Arts,Liberal Arts:63,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Principia College,Liberal Arts,Liberal Arts:64,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Reed College,Liberal Arts,Liberal Arts:65,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Lawrence University,Liberal Arts,Liberal Arts:66,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Virginia Military Institute,Liberal Arts,Liberal Arts:67,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Agnes Scott College,Liberal Arts,Liberal Arts:68,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Kalamazoo College,Liberal Arts,Liberal Arts:69,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Wofford College,Liberal Arts,Liberal Arts:70,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Bard College,Liberal Arts,Liberal Arts:71,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Gustavus Adolphus College,Liberal Arts,Liberal Arts:72,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Muhlenberg College,Liberal Arts,Liberal Arts:73,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,College of St. Benedict,Liberal Arts,Liberal Arts:74,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Hobart and William Smith Colleges,Liberal Arts,Liberal Arts:75,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Lake Forest College,Liberal Arts,Liberal Arts:76,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Allegheny College,Liberal Arts,Liberal Arts:77,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,The College of Wooster,Liberal Arts,Liberal Arts:78,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Earlham College,Liberal Arts,Liberal Arts:79,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Knox College,Liberal Arts,Liberal Arts:80,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Wheaton College,Liberal Arts,Liberal Arts:81,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Willamette University,Liberal Arts,Liberal Arts:82,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Saint Johns University,Liberal Arts,Liberal Arts:83,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Stonehill College,Liberal Arts,Liberal Arts:84,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Austin College,Liberal Arts,Liberal Arts:85,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Drew University,Liberal Arts,Liberal Arts:86,,non_url:nan,
,,Liberal Arts,,excluded,,,,excluded,,,,,duplicate_row,,Hope College,Liberal Arts,Liberal Arts:87,,non_url:nan; Hope College; scraped once as anchor.hope.edu,
,,Liberal Arts,,,,,,missing_url,,,,,,,Saint Mary's College,Liberal Arts,Liberal Arts:88,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Southwestern Univeristy,Liberal Arts,Liberal Arts:89,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,St. John's College (MD),Liberal Arts,Liberal Arts:90,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Ursinus College,Liberal Arts,Liberal Arts:91,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Washington & Jefferson College,Liberal Arts,Liberal Arts:92,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Beloit College,Liberal Arts,Liberal Arts:93,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Juniata College,Liberal Arts,Liberal Arts:94,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Washington College,Liberal Arts,Liberal Arts:95,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Whittier College,Liberal Arts,Liberal Arts:96,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Augustana College,Liberal Arts,Liberal Arts:97,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Lewis & Clark College,Liberal Arts,Liberal Arts:98,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Lycoming College,Liberal Arts,Liberal Arts:99,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Morehouse College,Liberal Arts,Liberal Arts:100,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Randolph-Macon College,Liberal Arts,Liberal Arts:101,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,Saint Anselm College,Liberal Arts,Liberal Arts:102,,non_url:nan,
,,Liberal Arts,,,,,,missing_url,,,,,,,St. Mary's College of Maryland,Liberal Arts,Liberal Arts:103,,non_url:nan,
,,Christian Colleges,,excluded,,,,excluded,,,,,discontinued,,Moody Bible Institute,Christian Colleges,Christian Colleges:8,,"non_url:Newspaper was the ""The Moody Standard"" but was discontinued in 2019; The Moody Standard stopped publishing in 2019",
