site_key,domain,category_labels,platform,access_profile,cdn,crawl_delay,sitemap_kind,status,est_urls,earliest_year,est_days,wave,exclusion_reason,shared_with,universities,tabs,source_rows,sample_url,notes,workbook_done
,alligator.org,National Universities | Public Universities,snworks,open,none,10.0,other,recon_done,,,,,,University of Florida,Univeristy of Florida | University of Florida,National Universities | Public Universities,National Universities:31 | Public Universities:8,https://www.alligator.org/,,
,thedailytexan.com,National Universities | Public Universities,sno,cloudflare,cloudflare,,wp_core,recon_done,51559,2011,7.2,,,The University of Texas--Austin,"The University of Texas, Austin | The University of Texas--Austin",National Universities | Public Universities,National Universities:32 | Public Universities:9,https://thedailytexan.com/,,
,nique.net,National Universities | Public Universities,unknown,cloudflare,cloudflare,,single,recon_done,9,,0.0,,,Georgia Institute of Technology,Georgia Institute of Technology | Georgia Institute of Technology,National Universities | Public Universities,National Universities:33 | Public Universities:10,https://nique.net/category/opinions/,,
,nyunews.com,National Universities,sno,cloudflare,cloudflare,,yoast,recon_done,22473,2012,3.1,,,,New York University,National Universities,National Universities:34,https://nyunews.com/,,
,theaggie.org,National Universities | Public Universities,unknown,open,none,,none,recon_done,,,,,,"University of California, Davis","University of California, Davis | University of California, Davis",National Universities | Public Universities,National Universities:35 | Public Universities:11,https://theaggie.org/,,
,newuniversity.org,National Universities | Public Universities,wordpress,open,none,,yoast,recon_done,17445,2026,1.2,,,"University of California, Irvine","Univeristy of California, Irvine | University of California, Irvine",National Universities | Public Universities,National Universities:36 | Public Universities:12,https://newuniversity.org/,,
,bcheights.com,National Universities,sno,cloudflare,cloudflare,6.0,yoast,recon_done,20636,2015,2.9,,,,Boston College,National Universities,National Universities:37,https://bcheights.com/,,
,tuftsdaily.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,Tufts University,National Universities,National Universities:38,https://www.tuftsdaily.com/,,
,dailyillini.com,National Universities | Public Universities,sno,cloudflare,cloudflare,,yoast,recon_done,100435,2007,13.9,,,University of Illinois Urbana-Champaign,"University of Illinois Urbana, Champaign | University of Illinois Urbana-Champaign",National Universities | Public Universities,National Universities:39 | Public Universities:13,https://dailyillini.com/,,
,dailycardinal.com,National Universities | Public Universities,snworks,open,none,10.0,other,recon_done,,,,,,University of Wisconsin--Madison,"University of Wisconsin, Madison | University of Wisconsin--Madison",National Universities | Public Universities,National Universities:40 | Public Universities:14,https://www.dailycardinal.com/,,
,dailynexus.com,National Universities | Public Universities,wordpress,cloudflare,cloudflare,,yoast,recon_done,40455,2026,5.6,,,"University of California, Santa Barbara","University of California, Santa Barbara | University of California, Santa Barbara",National Universities | Public Universities,National Universities:41 | Public Universities:15,https://dailynexus.com/,,
,thelantern.com,National Universities | Public Universities,wordpress,cloudflare,cloudflare,,other,recon_done,,,,,,The Ohio State University,The Ohio State University | The Ohio State University,National Universities | Public Universities,National Universities:42 | Public Universities:16,https://www.thelantern.com/,,
,dailyfreepress.com,National Universities,sno,cloudflare,cloudflare,6.0,none,recon_done,,,,,,,Boston University,National Universities,National Universities:43,https://dailyfreepress.com/,,
,dailytargum.com,National Universities | Public Universities,unknown,waf_browser_ua,aws_elb,,,recon_done,,,,,,"Rutgers University, Newark | Rutgers University--New Brunswick","Rutgers University, New Brunswick | Rutgers University, Newark | Rutgers University--New Brunswick",National Universities | Public Universities,National Universities:44 | National Universities:77 | Public Universities:17,https://dailytargum.com/,,
,dbknews.com,National Universities | Public Universities,possible_university_newsroom,,,10.0,,recon_done,,,,,,"University of Maryland, College Park","University of Maryland, College Park | University of Maryland, College Park",National Universities | Public Universities,National Universities:45 | Public Universities:18,https://dbknews.com/,,
,dailyuw.com,National Universities | Public Universities,unknown,,,,,recon_done,,,,,,University of Washington,University of Washington | University of Washington,National Universities | Public Universities,National Universities:46 | Public Universities:19,https://www.dailyuw.com/,,
,thebrownandwhite.com,National Universities,unknown,,,,,recon_done,,,,,,,Lehigh University,National Universities,National Universities:47,https://thebrownandwhite.com/,,
,huntnewsnu.com,National Universities,unknown,,,,,recon_done,,,,,,,Northeastern University,National Universities,National Universities:48,https://huntnewsnu.com/,,
,purdueexponent.org,National Universities | Public Universities,unknown,,,,,recon_done,,,,,,Purdue University--Main Campus,Purdue Univeristy | Purdue University--Main Campus,National Universities | Public Universities,National Universities:49 | Public Universities:20,https://www.purdueexponent.org/,,
,news.uga.edu,National Universities | Public Universities,possible_university_newsroom,,,,,recon_done,,,,,,University of Georgia,University of Georgia | University of Georgia,National Universities | Public Universities,National Universities:50 | Public Universities:21,https://news.uga.edu/,,
,campustimes.org,National Universities,unknown,,,,,recon_done,,,,,,,University of Rochester,National Universities,National Universities:51,http://campustimes.org/,,
,observer.case.edu,National Universities,unknown,,,,,recon_done,,,,,,,Case Western Reserve University,National Universities,National Universities:52,https://observer.case.edu/,,
,fsunews.com,National Universities,possible_university_newsroom,,,,,recon_done,,,,,,,Florida State University,National Universities,National Universities:53,https://www.fsunews.com/,,
,thebatt.com,National Universities,unknown,,,,,recon_done,,,,,,,Texas A&M University,National Universities,National Universities:54,https://thebatt.com/,,
,collegiatetimes.com,National Universities,unknown,,,,,recon_done,,,,,,,Virginia Tech,National Universities,National Universities:55,https://www.collegiatetimes.com/,,
,wfuogb.com,National Universities,unknown,,,,,recon_done,,,,,,,Wake Forest University,National Universities,National Universities:56,https://wfuogb.com/,,
,flathatnews.com,National Universities,possible_university_newsroom,,,,,recon_done,,,,,,,William & Mary,National Universities,National Universities:57,https://flathatnews.com/,,
,blogs.ucmerced.edu,National Universities,unknown,,,,,recon_done,,,,,,,"Univeristy of California, Merced",National Universities,National Universities:58,https://blogs.ucmerced.edu/prodigy/,,
,villanovan.com,National Universities,sno,cloudflare,cloudflare,,wp_core,recon_done,15606,2020,2.2,,,,Villanova University,National Universities,National Universities:59,https://villanovan.com/,,
,gwhatchet.com,National Universities,sno,cloudflare,cloudflare,,wp_core,recon_done,60745,2008,8.4,,,,George Washington University,National Universities,National Universities:60,https://gwhatchet.com/,,
,psucollegian.com,National Universities,blox,open,none,,other,recon_done,,,,,,,"The Pennsylvania State University, University Park",National Universities,National Universities:61,https://www.psucollegian.com/,,
,thesantaclara.org,National Universities,unknown,open,none,,none,recon_done,,,,,,,Santa Clara University,National Universities,National Universities:62,https://www.thesantaclara.org/,,
,sbstatesman.com,National Universities,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,13648,2007,1.9,,,,"Stony Brook University, SUNY",National Universities,National Universities:63,https://sbstatesman.com/,,
,mndaily.com,National Universities,sno,cloudflare,cloudflare,,yoast,recon_done,80597,1996,11.2,,,,"University of Minnesota, Twin Cities",National Universities,National Universities:64,https://mndaily.com/,,
,statenews.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,Michigan State University,National Universities,National Universities:65,http://statenews.com/,,
,technicianonline.com,National Universities,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,41019,2013,5.7,,,,North Carolina State University,National Universities,National Universities:66,https://technicianonline.com/,,
,poly.rpi.edu,National Universities,unknown,open,none,,single,recon_done,12068,,0.8,,,,Rensselaer Polytechnic Institute,National Universities,National Universities:67,https://poly.rpi.edu/,,
,dailycollegian.com,National Universities,sno,cloudflare,cloudflare,,wp_core,recon_done,52160,2009,7.2,,,,"University of Massachusetts, Amherst",National Universities,National Universities:68,https://dailycollegian.com/,,
,themiamihurricane.com,National Universities,wordpress,open,sucuri,,yoast,recon_done,25629,2001,1.8,,,,University of Miami,National Universities,National Universities:69,https://themiamihurricane.com/,,
,thejustice.org,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,Brandeis University,National Universities,National Universities:70,https://www.thejustice.org/,,
,tulanehullabaloo.com,National Universities,sno,cloudflare,cloudflare,,yoast,recon_done,11289,2010,1.6,,,,Tulane University of Louisiana,National Universities,National Universities:71,https://tulanehullabaloo.com/,,
,dailycampus.com,National Universities,wordpress,open,none,,other,recon_done,,,,,,,University of Connecticut,National Universities,National Universities:72,https://dailycampus.com/,,
,pittnews.com,National Universities,sno,cloudflare,cloudflare,,yoast,recon_done,55585,2001,7.7,,,,University of Pittsburgh,National Universities,National Universities:73,https://pittnews.com/,,
,bupipedream.com,National Universities,wordpress,open,none,,none,recon_done,,,,,,,"Binghamton University, SUNY",National Universities,National Universities:74,https://www.bupipedream.com/,,
,idsnews.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,"Indiana University, Bloomington",National Universities,National Universities:75,https://www.idsnews.com/,,
,thetigercu.com,National Universities,sno,cloudflare,cloudflare,6.0,yoast,recon_done,7447,2016,1.0,,,,Clemson University,National Universities,National Universities:76,https://thetigercu.com/,,
,dailyorange.com,National Universities,wordpress,cloudflare,cloudflare,1.0,none,recon_done,,,,,,,Syracuse University,National Universities,National Universities:78,https://dailyorange.com/,,
,ubspectrum.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,"University at Buffalo, SUNY",National Universities,National Universities:79,https://www.ubspectrum.com/,,
,highlandernews.org,National Universities,wordpress,cloudflare,cloudflare,,yoast,recon_done,10136,2012,1.4,,,,"University of California, Riverside",National Universities,National Universities:80,https://www.highlandernews.org/,,
,mines.primo.exlibrisgroup.com,National Universities,unknown,open,none,10.0,other,recon_done,,,,,,,Colorado School of Mines,National Universities,National Universities:81,https://mines.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma997051003502341&context=L&vid=01COLSCHL_INST:MINES&search_scope=MyInst_and_CI&isFrbr=true&tab=Everything&lang=en,,
,thetriangle.org,National Universities,wordpress,cloudflare,cloudflare,,other,recon_done,,,,,,,Drexel University,National Universities,National Universities:82,https://www.thetriangle.org/,,
,njitvector.com,National Universities,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,336,2021,0.0,,,,New Jersy Institute of Technology,National Universities,National Universities:83,https://njitvector.com/,,
,thestute.com,National Universities,wordpress,open,none,,none,recon_done,,,,,,,Stevens Institute of Technology,National Universities,National Universities:84,https://thestute.com/,,
,pepperdine-graphic.com,National Universities,wordpress,open,none,,single,recon_done,1,,0.0,,,,Pepperdine University,National Universities,National Universities:85,https://pepperdine-graphic.com/,,
,today.uic.edu,National Universities,possible_university_newsroom,waf_browser_ua,fastly,,,recon_done,,,,,,,University of Illinois Chicago,National Universities,National Universities:86,https://today.uic.edu/,,
,wpi.edu,National Universities,unknown,open,fastly,,other,recon_done,,,,,,,Worcester Polytechnic Institute,National Universities,National Universities:87,https://www.wpi.edu/news,,
,yucommentator.org,National Universities,wordpress,open,none,10.0,yoast,recon_done,4678,2011,0.5,,,,Yashiva University,National Universities,National Universities:88,https://yucommentator.org/,,
,theeagleonline.com,National Universities,snworks,open,none,10.0,other,recon_done,,,,,,,American University,National Universities,National Universities:89,https://www.theeagleonline.com/,,
,baylorlariat.com,Christian Colleges | National Universities,wordpress,cloudflare,cloudflare,10.0,yoast,recon_done,29712,2026,4.1,,,Baylor Univeristy,Baylor University | Baylor Univeristy,Christian Colleges | National Universities,National Universities:90 | Christian Colleges:13,https://baylorlariat.com/,,
,thehilltoponline.com,National Universities,wordpress,open,none,30.0,yoast,recon_done,2993,2016,1.0,,,,Howard University,National Universities,National Universities:91,https://thehilltoponline.com,,
,marquettewire.org,National Universities,sno,cloudflare,cloudflare,,wp_core,recon_done,32180,2011,4.5,,,,Marquette University,National Universities,National Universities:92,https://marquettewire.org/,,
,reporter.rit.edu,National Universities,sno,open,none,6.0,wp_core,recon_done,2136,2013,0.1,,,,Rochester Institute of Technology,National Universities,National Universities:93,https://reporter.rit.edu/,,
smu,smudailycampus.com,Christian Colleges | National Universities,sno,,,,,configured,,,,1,,Southern Methodist Univeristy,Southern Methodist University | Southern Methodist Univeristy,Christian Colleges | National Universities,National Universities:94 | Christian Colleges:3,https://smudailycampus.com/,,
,cityonahillpress.com,National Universities,wordpress,open,none,,yoast,recon_done,7032,2009,0.5,,,,University of California Santa Cruz,National Universities,National Universities:95,https://cityonahillpress.com/,,
,udreview.com,National Universities,unknown,waf_browser_ua,none,,,recon_done,,,,,,,University of Delaware,National Universities,National Universities:96,https://udreview.com/,,
,usforacle.com,National Universities,wordpress,open,none,,yoast,recon_done,32308,2018,2.2,,,,University of South Florida,National Universities,National Universities:97,https://www.usforacle.com/,,
,panthernow.com,National Universities,wordpress,open,none,60.0,yoast,recon_done,24730,2004,17.2,,,,Florida International University,National Universities,National Universities:98,https://panthernow.com/,,
,thefordhamram.com,National Universities,sno,cloudflare,cloudflare,,wp_core,recon_done,13499,2012,1.9,,,,Fordham University,National Universities,National Universities:99,https://thefordhamram.com/,,
,gleaner.rutgers.edu,National Universities,wordpress,open,none,,wp_core,recon_done,379,2019,0.0,,,,"Rutgers University, Camden",National Universities,National Universities:100,https://gleaner.rutgers.edu/,,
tcu,tcu360.com,Christian Colleges | National Universities,sno,,,,,configured,,,,1,,Texas Christian University,Texas Christian University | Texas Christian University,Christian Colleges | National Universities,National Universities:101 | Christian Colleges:2,https://tcu360.com/,,
,cuindependent.com,National Universities,wordpress,open,none,,yoast,recon_done,2141,2025,0.1,,,,University of Colorado Boulder,National Universities,National Universities:102,https://www.cuindependent.com/,,
,theplainsman.com,National Universities,unknown,waf_browser_ua,aws_elb,,,recon_done,,,,,,,Auburn University,National Universities,National Universities:103,https://www.theplainsman.com/,,
,williamsrecord.com,Liberal Arts,sno,cloudflare,cloudflare,,wp_core,recon_done,4397,2018,0.6,,,,Williams College,Liberal Arts,Liberal Arts:2,https://williamsrecord.com/,,
,amherststudent.com,Liberal Arts,unknown,cloudflare,cloudflare,,other,recon_done,,,,,,,Amherst College,Liberal Arts,Liberal Arts:3,https://amherststudent.com/,,
,cadetnewspaper.com,Liberal Arts,unknown,open,none,,none,recon_done,,,,,,,United States Naval Academy,Liberal Arts,Liberal Arts:4,https://cadetnewspaper.com/,,
,swarthmorephoenix.com,Liberal Arts,wordpress,open,none,,yoast,recon_done,13264,2000,0.9,,,,Swarthmore College,Liberal Arts,Liberal Arts:5,https://swarthmorephoenix.com/,,
,bowdoinorient.com,Liberal Arts,wordpress,cloudflare,cloudflare,10.0,wp_core,recon_done,5957,2017,0.8,,,,Bowdoin College,Liberal Arts,Liberal Arts:6,https://bowdoinorient.com/,,
,tsl.news,Liberal Arts,wordpress,open,none,,other,recon_done,,,,,,Pomona College | Harvey Mudd College | Pitzer College | Scripps College,Claremont McKenna College | Pomona College | Harvey Mudd College | Pitzer College | Scripps College,Liberal Arts,Liberal Arts:8 | Liberal Arts:9 | Liberal Arts:12 | Liberal Arts:38 | Liberal Arts:39,https://tsl.news/,,
,thewellesleynews.com,Liberal Arts,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,4814,,0.7,,,,Wellesley College,Liberal Arts,Liberal Arts:10,https://thewellesleynews.com/,,
,thecarletonian.com,Liberal Arts,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,7913,2010,1.1,,,,Carleton College,Liberal Arts,Liberal Arts:11,https://thecarletonian.com/,,
,thebarnardbulletin.com,Liberal Arts,unknown,open,none,,other,recon_done,,,,,,,Barnard College,Liberal Arts,Liberal Arts:14,https://www.thebarnardbulletin.com/campus-news,,
,thedavidsonian.news,Liberal Arts,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,511,2024,0.1,,,,Davidson College,Liberal Arts,Liberal Arts:15,https://thedavidsonian.news/,,
,thesandb.com,Liberal Arts,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,9196,2008,1.3,,,,Grinnell College,Liberal Arts,Liberal Arts:16,https://thesandb.com/,,
,hcspectator.com,Liberal Arts,sno,cloudflare,cloudflare,6.0,wp_core,recon_done,2869,2018,0.4,,,,Hamilton College,Liberal Arts,Liberal Arts:17,https://hcspectator.com/,,
